Table_Type$Company$System_Name$Nodes$Jvm_Company$Cpu_Name$Cpu_Frequency$Chips$Cores$Threads$Memory$Test_Location$Publish_Date$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Total_Result
Power$Acer Incorporated$Gateway GT110 F2 (Intel Xeon E3-1270)$1$IBM Corporation$Intel Xeon E3-1270$3400.0$1.0$4.0$8.0$8.0$Taipei$May 18, 2011$32.0$32.0$256.0$8192.0$3270.0
Power$Acer Incorporated$Acer AT110 F2 (Intel Xeon E3-1270)$1$IBM Corporation$Intel Xeon E3-1270$3400.0$1.0$4.0$8.0$8.0$Taipei$May 18, 2011$32.0$32.0$256.0$8192.0$3260.0
Power$Acer Incorporated$Acer AC100$1$IBM Corporation$Intel Xeon E3-1260L$2400.0$1.0$4.0$8.0$8.0$Taipei$Sep 13, 2011$32.0$32.0$256.0$8192.0$3741.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6238$2600.0$4.0$48.0$48.0$64.0$Taipei$Mar 14, 2012$384.0$192.0$12288.0$16384.0$2552.0
Power$Acer Incorporated$Acer AR385 F1$1$IBM Corporation$AMD Opteron 6238$2600.0$2.0$24.0$24.0$32.0$Taipei$Mar 14, 2012$384.0$192.0$12288.0$16384.0$2506.0
Power$Acer Incorporated$Acer AR385 F1$1$IBM Corporation$AMD Opteron 6276$2300.0$2.0$32.0$32.0$32.0$Taipei$Apr 4, 2012$512.0$256.0$16384.0$16384.0$2812.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6276$2300.0$4.0$64.0$64.0$64.0$Taipei$Jun 5, 2012$512.0$256.0$16384.0$16384.0$2803.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6276$2300.0$4.0$64.0$64.0$256.0$Taipei$Jun 14, 2012$512.0$256.0$16384.0$16384.0$2076.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6276$2300.0$4.0$64.0$64.0$256.0$Taipei$Jun 14, 2012$512.0$256.0$16384.0$16384.0$2284.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6278$2400.0$4.0$64.0$64.0$64.0$Taipei$Jun 21, 2012$512.0$256.0$16384.0$16384.0$2969.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6278$2400.0$4.0$64.0$64.0$256.0$Taipei$Jun 21, 2012$512.0$256.0$16384.0$16384.0$2136.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6278$2400.0$4.0$64.0$64.0$256.0$Taipei$Jun 21, 2012$512.0$256.0$16384.0$16384.0$2362.0
Power$Acer Incorporated$Acer AR380 F2$1$Oracle Corporation$Intel Xeon E5-2630$2300.0$2.0$12.0$24.0$128.0$Taipei$Jul 11, 2012$32.0$32.0$256.0$15360.0$2219.0
Power$Acer Incorporated$Acer AR380 F2$1$Oracle Corporation$Intel Xeon E5-2640$2500.0$2.0$12.0$24.0$128.0$Taipei$Jul 11, 2012$32.0$32.0$256.0$15360.0$2454.0
Power$Acer Incorporated$Acer AR380 F2$1$Oracle Corporation$Intel Xeon E5-2665$2400.0$2.0$16.0$32.0$128.0$Taipei$Jul 11, 2012$32.0$32.0$256.0$20480.0$2705.0
Power$Acer Incorporated$Acer AR380 F2$1$Oracle Corporation$Intel Xeon E5-2640$2500.0$2.0$12.0$24.0$32.0$Taipei$Jul 11, 2012$32.0$32.0$256.0$15360.0$2980.0
Power$Acer Incorporated$Acer AT350 F2$1$Oracle Corporation$Intel Xeon E5-2640$2500.0$2.0$12.0$24.0$32.0$Taipei$Aug 8, 2012$32.0$32.0$256.0$15360.0$3031.0
Power$Acer Incorporated$Acer AT350 F2$1$Oracle Corporation$Intel Xeon E5-2665$2400.0$2.0$16.0$32.0$128.0$Taipei$Aug 8, 2012$32.0$32.0$256.0$15360.0$2824.0
Power$Acer Incorporated$Acer AT350 F2$1$Oracle Corporation$Intel Xeon E5-2630$2300.0$2.0$12.0$24.0$128.0$Taipei$Aug 8, 2012$32.0$32.0$256.0$15360.0$2330.0
Power$Acer Incorporated$Acer AT350 F2$1$Oracle Corporation$Intel Xeon E5-2640$2500.0$2.0$12.0$24.0$128.0$Taipei$Aug 8, 2012$32.0$32.0$256.0$15360.0$2464.0
Power$Acer Incorporated$Acer AT350 F2$1$Oracle Corporation$Intel Xeon E5-2665$2400.0$2.0$16.0$32.0$128.0$Taipei$Aug 8, 2012$32.0$32.0$256.0$20480.0$2705.0
Power$Acer Incorporated$Acer AW2000h-AW170h F2  Acer AW2000h$4$Oracle Corporation$Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz)$2200.0$8.0$64.0$128.0$128.0$Taipei$Oct 3, 2012$32.0$32.0$262144.0$20480.0$3501.0
Power$Acer Incorporated$Acer AW2000h-Aw170h F2  Acer AW2000h$4$IBM Corporation$Intel Xeon E5-2670 2.6 GHz (Intel Turbo Boost Technology up to 3.30 GHz)$2600.0$8.0$64.0$128.0$512.0$Taipei$Jan 4, 2013$32.0$32.0$262144.0$20480.0$3400.0
Power$Acer Incorporated$Acer AR580 F2$1$IBM Corporation$Intel Xeon E5-4650 2.7 GHz (Intel Turbo Boost Technology up to 3.30 GHz)$2700.0$4.0$32.0$64.0$32.0$Taipei$Jan 9, 2013$32.0$32.0$256.0$20480.0$4134.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6380$2500.0$4.0$64.0$64.0$64.0$Taipei$Jan 9, 2013$512.0$256.0$16384.0$16384.0$4096.0
Power$Acer Incorporated$Altos R380 F2$1$IBM Corporation$Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz)$2200.0$2.0$16.0$32.0$24.0$Taipei$May 8, 2013$32.0$32.0$256.0$20480.0$4036.0
Power$Acer Incorporated$Altos R360 F2$1$IBM Corporation$Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz)$2200.0$2.0$16.0$32.0$24.0$Taipei$May 8, 2013$32.0$32.0$256.0$20480.0$4142.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6344$2600.0$4.0$48.0$48.0$64.0$Taipei$Jun 26, 2013$384.0$192.0$12288.0$16384.0$3739.0
Power$Acer Incorporated$Acer AR580 F2$1$IBM Corporation$Intel Xeon E5-4607 2.2 GHz$2200.0$4.0$24.0$48.0$64.0$Taipei$Jun 26, 2013$32.0$32.0$256.0$12288.0$3659.0
Power$Acer Incorporated$Altos R380 F2$1$IBM Corporation$Intel Xeon E5-2650$2200.0$2.0$16.0$32.0$32.0$Taipei$Jun 26, 2013$32.0$32.0$256.0$20480.0$5268.0
Power$Acer Incorporated$Altos R380 F2$1$IBM Corporation$Intel Xeon E5-2660$2200.0$2.0$16.0$32.0$32.0$Taipei$Jun 26, 2013$32.0$32.0$256.0$20480.0$5227.0
Power$Acer Incorporated$Altos R360 F2$1$IBM Corporation$Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz)$2200.0$2.0$16.0$32.0$24.0$Taipei$Jul 16, 2013$32.0$32.0$256.0$20480.0$4909.0
Power$Acer Incorporated$Altos R360 F2$1$IBM Corporation$Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz)$2000.0$2.0$16.0$32.0$24.0$Taipei$Jul 16, 2013$32.0$32.0$256.0$20480.0$4893.0
Power$Acer Incorporated$Altos T350 F2$1$IBM Corporation$Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz)$2000.0$2.0$16.0$32.0$24.0$Taipei$Jul 16, 2013$32.0$32.0$256.0$20480.0$5146.0
Power$Acer Incorporated$Altos T350 F2$1$IBM Corporation$Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz)$2200.0$2.0$16.0$32.0$24.0$Taipei$Jul 16, 2013$32.0$32.0$256.0$20480.0$5091.0
Power$Apple$Xserve3,1$1$Sun Microsystems$Intel(R) Xeon(R) CPU X5570$2930.0$2.0$8.0$16.0$18.0$Cupertino$Apr 8, 2009$32.0$32.0$256.0$8192.0$464.0
