Table_Type$Company$System_Name$Jvm_Name$Jvm_Version$Test_Location$Publish_Date$Cpu_Name$Nodes$Chips$Cores$Threads$Cpu_Frequency$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Memory$Total_Result
distributed$Hewlett Packard$Synergy 680 Gen9$Oracle Java SE 8u121$Java HotSpot 64-bit Server VM, version 1.8.0_121$Houston$Mar 30, 2017$Intel Xeon E7-8894 v4$1.0$4.0$96.0$192.0$2400.0$32.0$32.0$256.0$61440.0$16.0$121069.5
distributed$Hewlett Packard$ProLiant DL380 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$11-Jul-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$89508.6
distributed$Hewlett Packard$ProLiant DL380 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$11-Jul-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$124926.09999999999
distributed$Hewlett Packard$Synergy 660 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$11-Jul-2017$Intel Xeon Platinum 8180 CPU$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$250440.7
distributed$Hewlett Packard$ProLiant DL560 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$11-Jul-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$173447.8
distributed$Hewlett Packard$ProLiant DL380 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$4-Aug-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$67808.9
distributed$Hewlett Packard$ProLiant DL380 Gen10$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$Houston$4-Aug-2017$Intel Xeon Gold 6146$1.0$4.0$48.0$96.0$3200.0$32.0$32.0$1024.0$25344.0$16.0$44826.1
distributed$Hewlett Packard$ProLiant DL580 Gen10$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$Houston$26-Oct-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$64.0$146644.3
distributed$Hewlett Packard$ProLiant ML350 Gen10$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$Houston$26-Oct-2017$Intel Xeon Platinum 8180$1.0$2.0$56.0$112.0$2500.0$32.0$32.0$1024.0$39424.0$32.0$126947.7
distributed$Hewlett Packard$ProLiant DL385 Gen10$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$Houston$21-Nov-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$80816.4
distributed$Hewlett Packard$ProLiant DL385 Gen10$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$Houston$21-Nov-2017$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$16.0$47722.9
distributed$Hewlett Packard$ProLiant DL385 Gen10$Oracle Java SE 8u152$Java HotSpot 64-bit Server VM, version 1.8.0_152$Houston$16-Feb-2018$Intel Xeon Platinum 8180$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$0.0$90665.59999999999
