Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$329892$308229$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R760  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$317651$277834$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x 2.5 NVM Express 960GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$343031$309274$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$338796$309284$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$334561$226875$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8470Q$1$2$104$208$2100$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R760  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$313386$284509$Round Rock, TX$Tue Jan 31 23:29:06 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x 2.5 NVM Express 960GB$16 x 32 GB 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Fujitsu$SPARC M10-4S  HTML$Oracle Java SE 8u66$Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_66$28797$20607$Numazu, Japan$Feb 19, 2016$SPARC64 X+$1$1$16$32$3700$64 KB I + 64 KB D on chip per core$24 MB I+D on chip per chip$None$1 x 600 GB SAS, 10025 RPM SAS disk drive$32GB 4Rx4 PC3-10600R-9 ECC; all slots populated(GB)
Fujitsu$Fujitsu SPARC M12-2S  HTML$Oracle Java SE 8u121$Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_121$52659$37682$Kawasaki, Japan$Apr 04, 2017$SPARC64 XII$1$1$12$96$4250$64KB I + 64KB D on chip per core$512KB I+D on chip per core$32MB I+D on chip per chip$1 x 600GB 10K RPM SAS disk drive$32GB 2Rx4 PC4-2400T-R, ECC; All slots populated(GB)
Fujitsu$Fujitsu Server PRIMERGY RX2540 M4  HTML$Oracle Java SE 10.0.2$Java HotSpot 64-bit Server VM, version 10.0.2$146473$129399$Kawasaki, Japan$Sep 13, 2018$Intel Xeon Platinum 8180$1$2$56$112$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$1x 400GB SAS SSD$32GB 2Rx4 PC4-2666V-R(GB)
Fujitsu$Fujitsu Server PRIMERGY TX1320 M4  HTML$Oracle Java SE 10.0.2$Java HotSpot 64-bit Server VM, version 10.0.2$26012$13098$Kawasaki, Japan$Nov 06, 2018$Intel Xeon E-2186G$1$1$6$12$3800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12MB I+D on chip per chip$1x 2TB SATA HDD$16GB 2Rx8 PC4-2666V-E(GB)
